meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Missouri Grand Prix 2011,01:05.89,18/02/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,165,170,935,Columbia,USA
11th Pan Pacific Championships 2010,01:05.89,19/08/2010,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,165,171,935,Irvine,USA
Olympic Games Tokyo 2020,01:05.90,27/07/2021,Women 100 Breaststroke LCM Female,ROC,ROC,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,172,172,921,Tokyo,JPN
Indianapolis PSS 2018,01:05.90,19/05/2018,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,172,173,921,Indianapolis,USA
Japan Swim 2018,01:05.90,05/04/2018,Women 100 Breaststroke LCM Female,JPN,Japan,"AOKI, Reona",F,24/02/1995,,,172,174,921,Tokyo,JPN
Russian National Championships (50m),01:05.90,14/04/2017,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,172,175,931,Moscow,RUS
Russian National Championships (50m),01:05.90,08/04/2017,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,172,176,931,Moscow,RUS
Russian National Championships (50m),01:05.90,23/04/2015,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,172,177,931,Moscow,RUS
Russian National Championships (50m),01:05.90,19/04/2015,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,172,178,931,Moscow,RUS
NC Charlotte UltraSwim 2011,01:05.90,12/05/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"HARDY, Jessica",F,12/03/1987,,,172,179,935,Charlotte,USA
Giant Open Final (50m),01:05.92,19/03/2023,Women 100 Breaststroke LCM Female,NED,Netherlands,"SCHOUTEN, Tes",F,31/12/2000,,,180,180,920,Saint Germain en Laye,FRA
US Olympic Team Trials - Wave II,01:05.92,14/06/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"LAZOR, Annie",F,17/08/1994,,,180,181,920,Omaha,USA
US Olympic Team Trials,01:05.92,25/06/2012,Women 100 Breaststroke LCM Female,USA,United States of America,"LARSON, Breeja",F,16/04/1992,,,180,182,934,Omaha,USA
World Aquatics Championships - Fukuoka 2023,01:05.93,24/07/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,183,183,920,Fukuoka,JPN
