meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,58.18,28/07/2009,Women 100 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,08/05/1990,,,43,46,,Rome,ITA
Canadian Swimming Trials 2019,58.19,03/04/2019,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,47,47,990,Toronto,CAN
Canadian Swimming Trials 2017,58.21,06/04/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,48,48,995,Victoria,CAN
19th FINA World Championships Budapest 2022,58.22,20/06/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,49,49,960,Budapest,HUN
Olympic Games London 2012,58.23,29/07/2012,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,50,50,994,London,GBR
British National Swimming Championships (50m),58.24,15/04/2021,Women 100 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,51,51,965,London,GBR
World Aquatics Championships - Fukuoka 2023,58.25,25/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,52,52,959,Fukuoka,JPN
TYR Pro Swim Series Knoxville 2020,58.26,18/01/2020,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,53,53,964,Knoxville,USA
16th FINA World Championships 2015,58.26,04/08/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,53,54,992,Kazan,RUS
Phillips 66 International Team Trials 2022,58.29,29/04/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,55,55,957,Greensboro,USA
13th Pan Pacific Championships 2018,58.29,10/08/2018,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,55,56,990,Tokyo,JPN
19th FINA World Championships Budapest 2022,58.31,19/06/2022,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,57,57,956,Budapest,HUN
Victorian Open Championships 2022,58.31,19/02/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,57,58,956,Melbourne,AUS
Atlanta Classic 2021,58.31,15/05/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,12/10/1994,,,57,59,962,Atlanta,USA
17th FINA World Championships 2017,58.31,30/07/2017,Women 100 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,57,60,990,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,58.33,24/07/2023,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,61,61,955,Fukuoka,JPN
Olympic Games London 2012,58.33,30/07/2012,Women 100 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,10/05/1995,,,61,62,989,London,GBR
FINA/airweave Swimming World Cup 2015,58.34,03/11/2015,Women 100 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,05/06/1992,,,63,63,988,Doha,QAT
NSW Open State Championships 2022,58.35,05/03/2022,Women 100 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,64,64,954,Sydney,AUS
US Olympic Team Trials - Wave II,58.35,15/06/2021,Women 100 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,64,65,960,Omaha,USA
