meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,58.62,24/07/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,82,83,913,Tokyo,JPN
18th FINA World Championships 2019,58.63,22/07/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,84,84,923,Gwangju,KOR
Eindhoven Qualification Meet 2021,58.64,10/04/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,85,85,912,Eindhoven,NED
European Championships 2018,58.64,04/08/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,85,86,924,Glasgow,GBR
17th FINA World Championships 2017,58.64,23/07/2017,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,13/08/1993,,,85,87,924,Budapest,HUN
13th FINA World Championships 2009,58.64,27/07/2009,Men 100 Breaststroke LCM Male,FRA,France,"DUBOSCQ, Hugues",M,29/08/1981,,,85,88,,Rome,ITA
19th FINA World Championships Budapest 2022,58.65,19/06/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,89,89,912,Budapest,HUN
Swimcup Amsterdam,58.65,14/12/2019,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,89,90,922,Amsterdam,NED
Chinese Spring National Championships,58.66,20/03/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,91,91,911,Qingdao,CHN
British Swimming Championships (50m),58.66,16/04/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,91,92,922,Glasgow,GBR
TYR Pro Swim Series Indianapolis 2021,58.67,13/05/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,93,93,911,Indianapolis,USA
18th FINA World Championships 2019,58.67,21/07/2019,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,93,94,921,Gwangju,KOR
Ukrainian National Cup,58.67,13/06/2009,Men 100 Breaststroke LCM Male,UKR,Ukraine,"BORYSIK, Igor",M,02/06/1984,,,93,95,,Donetsk,UKR
